year,opp_league,league_average,lgyr_multiplier,,,
2015,AL,109.97678309859200,0.90928282481542,,,
2015,NL,120.59248877485600,0.82923904312729,,,
2016,AL,99.41311386138590,1.00590350825780,,,
2016,NL,105.55454496208000,0.94737749128590,,,
2017,AL,96.32876224858160,1.03811154286343,,,
2017,NL,104.85725241239200,0.95367747770761,,,
2018,AL,92.5057723142703,1.0810136221583,,,
2018,NL,99.41713497240350,1.00586282261864,,,
2019,AL,91.87938303341890,1.08838345119957,,,
2019,NL,94.93667403314900,1.05333371974968,,,
2020,AL,78.03716165413520,1.28144076335330,,,
2020,NL,79.82604288499020,1.25272400316868,,,
